,continent,country,population,cases,deaths,tests,day,time
124,Europe,Finland,5547395.0,"{'new': '+346', 'active': 35185, 'critical': 41, 'recovered': 46000, '1M_pop': '14791', 'total': 82053}","{'new': None, '1M_pop': '156', 'total': 868}","{'1M_pop': '747372', 'total': 4145966}",2021-04-11,2021-04-11T15:15:20+00:00
125,Africa,Ghana,31570317.0,"{'new': '+151', 'active': 1414, 'critical': 10, 'recovered': 89092, '1M_pop': '2891', 'total': 91260}","{'new': '+2', '1M_pop': '24', 'total': 754}","{'1M_pop': '32488', 'total': 1025654}",2021-04-11,2021-04-11T15:15:20+00:00
126,Africa,Mozambique,31924805.0,"{'new': '+72', 'active': 9406, 'critical': 68, 'recovered': 58383, '1M_pop': '2148', 'total': 68578}","{'new': None, '1M_pop': '25', 'total': 789}","{'1M_pop': '15492', 'total': 494568}",2021-04-11,2021-04-11T15:15:20+00:00
127,Asia,Sri-Lanka,21482812.0,"{'new': '+170', 'active': 2791, 'critical': None, 'recovered': 91631, '1M_pop': '4423', 'total': 95018}","{'new': '+1', '1M_pop': '28', 'total': 596}","{'1M_pop': '110536', 'total': 2374627}",2021-04-11,2021-04-11T15:15:20+00:00
128,Africa,Zambia,18778931.0,"{'new': '+111', 'active': 785, 'critical': 59, 'recovered': 88018, '1M_pop': '4794', 'total': 90029}","{'new': None, '1M_pop': '65', 'total': 1226}","{'1M_pop': '69511', 'total': 1305345}",2021-04-11,2021-04-11T15:15:20+00:00
129,Asia,Kyrgyzstan,6607187.0,"{'new': '+208', 'active': 2676, 'critical': 24, 'recovered': 85824, '1M_pop': '13624', 'total': 90019}","{'new': '+3', '1M_pop': '230', 'total': 1519}","{'1M_pop': '135828', 'total': 897438}",2021-04-11,2021-04-11T15:15:20+00:00
130,Europe,Luxembourg,633831.0,"{'new': '+183', 'active': 4008, 'critical': 30, 'recovered': 58874, '1M_pop': '100421', 'total': 63650}","{'new': '+5', '1M_pop': '1212', 'total': 768}","{'1M_pop': '3928849', 'total': 2490226}",2021-04-11,2021-04-11T15:15:20+00:00
131,Europe,Montenegro,628127.0,"{'new': '+232', 'active': 4526, 'critical': 69, 'recovered': 88144, '1M_pop': '149707', 'total': 94035}","{'new': '+11', '1M_pop': '2173', 'total': 1365}","{'1M_pop': '558975', 'total': 351107}",2021-04-11,2021-04-11T15:15:20+00:00
132,North-America,Cuba,11321269.0,"{'new': '+1040', 'active': 5161, 'critical': 66, 'recovered': 79958, '1M_pop': '7559', 'total': 85572}","{'new': '+5', '1M_pop': '40', 'total': 453}","{'1M_pop': '281935', 'total': 3191858}",2021-04-11,2021-04-11T15:15:20+00:00
133,Asia,S-Korea,51303412.0,"{'new': '+614', 'active': 7682, 'critical': 105, 'recovered': 100109, '1M_pop': '2136', 'total': 109559}","{'new': '+3', '1M_pop': '34', 'total': 1768}","{'1M_pop': '158460', 'total': 8129532}",2021-04-11,2021-04-11T15:15:19+00:00
134,Europe,Norway,5454040.0,"{'new': None, 'active': 13564, 'critical': 57, 'recovered': 88952, '1M_pop': '18922', 'total': 103200}","{'new': None, '1M_pop': '125', 'total': 684}","{'1M_pop': '884497', 'total': 4824081}",2021-04-11,2021-04-11T15:15:19+00:00
135,Europe,Estonia,1327227.0,"{'new': '+438', 'active': 18339, 'critical': 72, 'recovered': 94807, '1M_pop': '86024', 'total': 114174}","{'new': '+8', '1M_pop': '775', 'total': 1028}","{'1M_pop': '901021', 'total': 1195859}",2021-04-11,2021-04-11T15:15:19+00:00
136,Africa,Libya,6943421.0,"{'new': '+937', 'active': 12081, 'critical': None, 'recovered': 152921, '1M_pop': '24170', 'total': 167825}","{'new': '+16', '1M_pop': '407', 'total': 2823}","{'1M_pop': '131178', 'total': 910823}",2021-04-11,2021-04-11T15:15:19+00:00
137,Asia,Myanmar,54692144.0,"{'new': '+4', 'active': 7517, 'critical': None, 'recovered': 131853, '1M_pop': '2607', 'total': 142576}","{'new': None, '1M_pop': '59', 'total': 3206}","{'1M_pop': '46681', 'total': 2553078}",2021-04-11,2021-04-11T15:15:19+00:00
138,Europe,Latvia,1869958.0,"{'new': '+368', 'active': 6460, 'critical': 94, 'recovered': 99162, '1M_pop': '57546', 'total': 107608}","{'new': None, '1M_pop': '1062', 'total': 1986}","{'1M_pop': '1083517', 'total': 2026131}",2021-04-11,2021-04-11T15:15:19+00:00
139,South-America,Uruguay,3483027.0,"{'new': '+3434', 'active': 35532, 'critical': 471, 'recovered': 104434, '1M_pop': '40591', 'total': 141380}","{'new': '+51', '1M_pop': '406', 'total': 1414}","{'1M_pop': '436265', 'total': 1519522}",2021-04-11,2021-04-11T15:15:19+00:00
140,Africa,Algeria,44458992.0,"{'new': '+127', 'active': 32759, 'critical': 19, 'recovered': 82493, '1M_pop': '2663', 'total': 118378}","{'new': '+3', '1M_pop': '70', 'total': 3126}","{'1M_pop': '5193', 'total': 230861}",2021-04-11,2021-04-11T15:15:19+00:00
141,Africa,Nigeria,210064730.0,"{'new': '+84', 'active': 7578, 'critical': 11, 'recovered': 154098, '1M_pop': '779', 'total': 163736}","{'new': '+1', '1M_pop': '10', 'total': 2060}","{'1M_pop': '8584', 'total': 1803177}",2021-04-11,2021-04-11T15:15:19+00:00
142,Asia,Bahrain,1746812.0,"{'new': '+1122', 'active': 10959, 'critical': 86, 'recovered': 143889, '1M_pop': '88963', 'total': 155402}","{'new': '+4', '1M_pop': '317', 'total': 554}","{'1M_pop': '2153369', 'total': 3761531}",2021-04-11,2021-04-11T15:15:19+00:00
143,Europe,North-Macedonia,2083308.0,"{'new': '+1092', 'active': 21542, 'critical': 124, 'recovered': 115433, '1M_pop': '67756', 'total': 141157}","{'new': '+32', '1M_pop': '2007', 'total': 4182}","{'1M_pop': '319728', 'total': 666091}",2021-04-11,2021-04-11T15:15:19+00:00
144,Africa,Kenya,54679096.0,"{'new': '+1030', 'active': 44249, 'critical': 247, 'recovered': 98605, '1M_pop': '2655', 'total': 145184}","{'new': '+21', '1M_pop': '43', 'total': 2330}","{'1M_pop': '28488', 'total': 1557704}",2021-04-11,2021-04-11T15:15:19+00:00
145,Europe,Albania,2875366.0,"{'new': '+360', 'active': 28639, 'critical': 18, 'recovered': 97206, '1M_pop': '44570', 'total': 128155}","{'new': '+6', '1M_pop': '803', 'total': 2310}","{'1M_pop': '202633', 'total': 582645}",2021-04-11,2021-04-11T15:15:19+00:00
146,Africa,Ethiopia,117143517.0,"{'new': '+1739', 'active': 55071, 'critical': 933, 'recovered': 169038, '1M_pop': '1940', 'total': 227255}","{'new': '+35', '1M_pop': '27', 'total': 3146}","{'1M_pop': '20808', 'total': 2437495}",2021-04-11,2021-04-11T15:15:18+00:00
147,South-America,Venezuela,28373362.0,"{'new': None, 'active': 15555, 'critical': 237, 'recovered': 156472, '1M_pop': '6125', 'total': 173786}","{'new': None, '1M_pop': '62', 'total': 1759}","{'1M_pop': '118386', 'total': 3359014}",2021-04-11,2021-04-11T15:15:18+00:00
148,North-America,Honduras,10026095.0,"{'new': '+977', 'active': 115202, 'critical': 526, 'recovered': 75553, '1M_pop': '19502', 'total': 195525}","{'new': '+4', '1M_pop': '476', 'total': 4770}","{'1M_pop': '53859', 'total': 539992}",2021-04-11,2021-04-11T15:15:18+00:00
149,Europe,Lithuania,2692682.0,"{'new': '+839', 'active': 16589, 'critical': 150, 'recovered': 205897, '1M_pop': '83995', 'total': 226173}","{'new': '+12', '1M_pop': '1369', 'total': 3687}","{'1M_pop': '925009', 'total': 2490755}",2021-04-11,2021-04-11T15:15:18+00:00
150,Asia,Armenia,2967538.0,"{'new': '+650', 'active': 17119, 'critical': None, 'recovered': 181963, '1M_pop': '68345', 'total': 202817}","{'new': '+15', '1M_pop': '1259', 'total': 3735}","{'1M_pop': '304197', 'total': 902716}",2021-04-11,2021-04-11T15:15:18+00:00
151,Europe,Slovenia,2079160.0,"{'new': '+548', 'active': 13819, 'critical': 139, 'recovered': 208561, '1M_pop': '108938', 'total': 226499}","{'new': '+7', '1M_pop': '1981', 'total': 4119}","{'1M_pop': '530916', 'total': 1103860}",2021-04-11,2021-04-11T15:15:18+00:00
152,Africa,Egypt,103815779.0,"{'new': '+801', 'active': 38218, 'critical': 90, 'recovered': 159054, '1M_pop': '2020', 'total': 209677}","{'new': '+43', '1M_pop': '119', 'total': 12405}","{'1M_pop': '24153', 'total': 2507491}",2021-04-11,2021-04-11T15:15:18+00:00
153,Asia,Oman,5206374.0,"{'new': '+3544', 'active': 16989, 'critical': 229, 'recovered': 152784, '1M_pop': '32950', 'total': 171549}","{'new': '+29', '1M_pop': '341', 'total': 1776}","{'1M_pop': '297712', 'total': 1550000}",2021-04-11,2021-04-11T15:15:18+00:00
154,South-America,Paraguay,7200208.0,"{'new': '+1603', 'active': 37382, 'critical': 444, 'recovered': 191614, '1M_pop': '32464', 'total': 233745}","{'new': '+51', '1M_pop': '660', 'total': 4749}","{'1M_pop': '134586', 'total': 969044}",2021-04-11,2021-04-11T15:15:18+00:00
155,North-America,Costa-Rica,5130092.0,"{'new': None, 'active': 24766, 'critical': 199, 'recovered': 194760, '1M_pop': '43380', 'total': 222544}","{'new': None, '1M_pop': '588', 'total': 3018}","{'1M_pop': '164133', 'total': 842015}",2021-04-11,2021-04-11T15:15:18+00:00
156,Europe,Bosnia-and-Herzegovina,3264951.0,"{'new': None, 'active': 35210, 'critical': None, 'recovered': 139419, '1M_pop': '55721', 'total': 181927}","{'new': None, '1M_pop': '2235', 'total': 7298}","{'1M_pop': '255893', 'total': 835478}",2021-04-11,2021-04-11T15:15:18+00:00
157,Asia,Qatar,2807805.0,"{'new': '+961', 'active': 20057, 'critical': 461, 'recovered': 169635, '1M_pop': '67677', 'total': 190025}","{'new': '+2', '1M_pop': '119', 'total': 333}","{'1M_pop': '641947', 'total': 1802462}",2021-04-11,2021-04-11T15:15:18+00:00
158,North-America,Guatemala,18170870.0,"{'new': '+1345', 'active': 10881, 'critical': 5, 'recovered': 184758, '1M_pop': '11152', 'total': 202640}","{'new': '+24', '1M_pop': '385', 'total': 7001}","{'1M_pop': '60753', 'total': 1103938}",2021-04-11,2021-04-11T15:15:18+00:00
159,South-America,Bolivia,11795936.0,"{'new': '+921', 'active': 38321, 'critical': 71, 'recovered': 230807, '1M_pop': '23870', 'total': 281570}","{'new': '+14', '1M_pop': '1055', 'total': 12442}","{'1M_pop': '83322', 'total': 982858}",2021-04-11,2021-04-11T15:15:17+00:00
160,Asia,Kazakhstan,18950201.0,"{'new': '+2842', 'active': 32241, 'critical': 221, 'recovered': 234057, '1M_pop': '14222', 'total': 269519}","{'new': '+19', '1M_pop': '170', 'total': 3221}","{'1M_pop': '483333', 'total': 9159265}",2021-04-11,2021-04-11T15:15:17+00:00
161,Asia,Georgia,3983221.0,"{'new': '+707', 'active': 7216, 'critical': None, 'recovered': 277303, '1M_pop': '72403', 'total': 288396}","{'new': '+8', '1M_pop': '973', 'total': 3877}","{'1M_pop': '921717', 'total': 3671403}",2021-04-11,2021-04-11T15:15:17+00:00
162,Europe,Croatia,4085582.0,"{'new': '+1617', 'active': 13241, 'critical': 182, 'recovered': 272967, '1M_pop': '71597', 'total': 292516}","{'new': '+39', '1M_pop': '1544', 'total': 6308}","{'1M_pop': '401194', 'total': 1639110}",2021-04-11,2021-04-11T15:15:17+00:00
163,Europe,Ireland,4980407.0,"{'new': None, 'active': 212496, 'critical': 48, 'recovered': 23364, '1M_pop': '48318', 'total': 240643}","{'new': None, '1M_pop': '960', 'total': 4783}","{'1M_pop': '837078', 'total': 4168990}",2021-04-11,2021-04-11T15:15:17+00:00
164,Asia,Nepal,29540607.0,"{'new': '+303', 'active': 2961, 'critical': None, 'recovered': 274027, '1M_pop': '9479', 'total': 280028}","{'new': '+1', '1M_pop': '103', 'total': 3040}","{'1M_pop': '78296', 'total': 2312901}",2021-04-11,2021-04-11T15:15:17+00:00
165,Europe,Denmark,5808010.0,"{'new': '+691', 'active': 8721, 'critical': 38, 'recovered': 226630, '1M_pop': '40942', 'total': 237792}","{'new': '+2', '1M_pop': '420', 'total': 2441}","{'1M_pop': '5013485', 'total': 29118371}",2021-04-11,2021-04-11T15:15:17+00:00
166,Asia,Azerbaijan,10209855.0,"{'new': '+2192', 'active': 30687, 'critical': None, 'recovered': 249013, '1M_pop': '27775', 'total': 283579}","{'new': '+33', '1M_pop': '380', 'total': 3879}","{'1M_pop': '294343', 'total': 3005197}",2021-04-11,2021-04-11T15:15:17+00:00
167,Africa,Tunisia,11914205.0,"{'new': '+1460', 'active': 36665, 'critical': 407, 'recovered': 224397, '1M_pop': '22687', 'total': 270297}","{'new': '+56', '1M_pop': '775', 'total': 9235}","{'1M_pop': '98597', 'total': 1174701}",2021-04-11,2021-04-11T15:15:17+00:00
168,North-America,Dominican-Republic,10932007.0,"{'new': '+623', 'active': 37781, 'critical': 154, 'recovered': 216020, '1M_pop': '23526', 'total': 257186}","{'new': '+3', '1M_pop': '310', 'total': 3385}","{'1M_pop': '122886', 'total': 1343391}",2021-04-11,2021-04-11T15:15:17+00:00
169,Asia,Kuwait,4319302.0,"{'new': '+1379', 'active': 14455, 'critical': 226, 'recovered': 229846, '1M_pop': '56885', 'total': 245704}","{'new': '+10', '1M_pop': '325', 'total': 1403}","{'1M_pop': '498112', 'total': 2151495}",2021-04-11,2021-04-11T15:15:17+00:00
170,Asia,Palestine,5192582.0,"{'new': '+2235', 'active': 32312, 'critical': 185, 'recovered': 232960, '1M_pop': '51638', 'total': 268132}","{'new': '+22', '1M_pop': '551', 'total': 2860}","{'1M_pop': '315171', 'total': 1636553}",2021-04-11,2021-04-11T15:15:17+00:00
171,Europe,Moldova,4026708.0,"{'new': '+830', 'active': 13549, 'critical': 312, 'recovered': 221968, '1M_pop': '59822', 'total': 240886}","{'new': '+30', '1M_pop': '1333', 'total': 5369}","{'1M_pop': '223494', 'total': 899947}",2021-04-11,2021-04-11T15:15:17+00:00
172,North-America,Panama,4367153.0,"{'new': '+279', 'active': 4320, 'critical': 105, 'recovered': 347898, '1M_pop': '82062', 'total': 358377}","{'new': '+3', '1M_pop': '1410', 'total': 6159}","{'1M_pop': '511565', 'total': 2234081}",2021-04-11,2021-04-11T15:15:16+00:00
173,Africa,Morocco,37247332.0,"{'new': '+740', 'active': 4782, 'critical': 242, 'recovered': 488015, '1M_pop': '13469', 'total': 501688}","{'new': '+6', '1M_pop': '239', 'total': 8891}","{'1M_pop': '163552', 'total': 6091867}",2021-04-11,2021-04-11T15:15:16+00:00
174,Europe,Slovakia,5461694.0,"{'new': '+589', 'active': 105197, 'critical': 510, 'recovered': 255300, '1M_pop': '67939', 'total': 371062}","{'new': '+78', '1M_pop': '1934', 'total': 10565}","{'1M_pop': '446742', 'total': 2439970}",2021-04-11,2021-04-11T15:15:16+00:00
175,Asia,UAE,9982706.0,"{'new': '+1810', 'active': 13760, 'critical': None, 'recovered': 468456, '1M_pop': '48459', 'total': 483747}","{'new': '+2', '1M_pop': '153', 'total': 1531}","{'1M_pop': '4033355', 'total': 40263802}",2021-04-11,2021-04-11T15:15:16+00:00
176,Europe,Belarus,9446911.0,"{'new': '+1175', 'active': 7197, 'critical': None, 'recovered': 326487, '1M_pop': '35571', 'total': 336038}","{'new': '+10', '1M_pop': '249', 'total': 2354}","{'1M_pop': '587910', 'total': 5553937}",2021-04-11,2021-04-11T15:15:16+00:00
177,Asia,Saudi-Arabia,35232061.0,"{'new': '+799', 'active': 8360, 'critical': 915, 'recovered': 383321, '1M_pop': '11309', 'total': 398435}","{'new': '+7', '1M_pop': '192', 'total': 6754}","{'1M_pop': '448383', 'total': 15797442}",2021-04-11,2021-04-11T15:15:16+00:00
178,Asia,Lebanon,6801692.0,"{'new': '+2705', 'active': 85831, 'critical': 864, 'recovered': 402172, '1M_pop': '72722', 'total': 494633}","{'new': '+38', '1M_pop': '975', 'total': 6630}","{'1M_pop': '543147', 'total': 3694320}",2021-04-11,2021-04-11T15:15:16+00:00
179,Europe,Bulgaria,6907756.0,"{'new': '+1352', 'active': 71381, 'critical': 801, 'recovered': 285799, '1M_pop': '53785', 'total': 371531}","{'new': '+43', '1M_pop': '2078', 'total': 14351}","{'1M_pop': '328134', 'total': 2266672}",2021-04-11,2021-04-11T15:15:16+00:00
180,South-America,Ecuador,17849730.0,"{'new': '+2199', 'active': 37288, 'critical': 593, 'recovered': 290314, '1M_pop': '19321', 'total': 344877}","{'new': '+117', '1M_pop': '968', 'total': 17275}","{'1M_pop': '66720', 'total': 1190939}",2021-04-11,2021-04-11T15:15:16+00:00
181,Asia,Malaysia,32686221.0,"{'new': '+1739', 'active': 15574, 'critical': 183, 'recovered': 343953, '1M_pop': '11040', 'total': 360856}","{'new': '+8', '1M_pop': '41', 'total': 1329}","{'1M_pop': '251023', 'total': 8204996}",2021-04-11,2021-04-11T15:15:16+00:00
182,Asia,Japan,126176770.0,"{'new': '+3587', 'active': 29447, 'critical': 511, 'recovered': 460993, '1M_pop': '3961', 'total': 499793}","{'new': '+19', '1M_pop': '74', 'total': 9353}","{'1M_pop': '82322', 'total': 10387132}",2021-04-11,2021-04-11T15:15:16+00:00
183,Europe,Greece,10383622.0,"{'new': '+2799', 'active': 37933, 'critical': 781, 'recovered': 246997, '1M_pop': '28291', 'total': 293763}","{'new': '+75', '1M_pop': '851', 'total': 8833}","{'1M_pop': '677374', 'total': 7033594}",2021-04-11,2021-04-11T15:15:16+00:00
184,Asia,Pakistan,224195210.0,"{'new': '+5050', 'active': 73875, 'critical': 4143, 'recovered': 631700, '1M_pop': '3216', 'total': 721018}","{'new': '+114', '1M_pop': '69', 'total': 15443}","{'1M_pop': '47882', 'total': 10734960}",2021-04-11,2021-04-11T15:15:15+00:00
185,Europe,Belgium,11628700.0,"{'new': '+4570', 'active': 839627, 'critical': 925, 'recovered': 59432, '1M_pop': '79328', 'total': 922487}","{'new': '+38', '1M_pop': '2015', 'total': 23428}","{'1M_pop': '1003563', 'total': 11670137}",2021-04-11,2021-04-11T15:15:15+00:00
186,Europe,Hungary,9641301.0,"{'new': '+6296', 'active': 270353, 'critical': 1290, 'recovered': 426394, '1M_pop': '74696', 'total': 720164}","{'new': '+206', '1M_pop': '2429', 'total': 23417}","{'1M_pop': '511838', 'total': 4934786}",2021-04-11,2021-04-11T15:15:15+00:00
187,Asia,Israel,9197590.0,"{'new': '+60', 'active': 3890, 'critical': 263, 'recovered': 825687, '1M_pop': '90879', 'total': 835871}","{'new': '+2', '1M_pop': '684', 'total': 6294}","{'1M_pop': '1493902', 'total': 13740302}",2021-04-11,2021-04-11T15:15:15+00:00
188,Asia,Bangladesh,165957839.0,"{'new': '+5819', 'active': 98427, 'critical': None, 'recovered': 576590, '1M_pop': '4126', 'total': 684756}","{'new': '+78', '1M_pop': '59', 'total': 9739}","{'1M_pop': '30145', 'total': 5002865}",2021-04-11,2021-04-11T15:15:15+00:00
189,Europe,Portugal,10173616.0,"{'new': '+601', 'active': 25810, 'critical': 119, 'recovered': 784208, '1M_pop': '81282', 'total': 826928}","{'new': '+6', '1M_pop': '1662', 'total': 16910}","{'1M_pop': '920357', 'total': 9363361}",2021-04-11,2021-04-11T15:15:15+00:00
190,Asia,Jordan,10281442.0,"{'new': '+3145', 'active': 66334, 'critical': 729, 'recovered': 588353, '1M_pop': '64426', 'total': 662395}","{'new': '+62', '1M_pop': '750', 'total': 7708}","{'1M_pop': '612183', 'total': 6294123}",2021-04-11,2021-04-11T15:15:15+00:00
191,Asia,Iraq,40916625.0,"{'new': '+6791', 'active': 95380, 'critical': 436, 'recovered': 814853, '1M_pop': '22606', 'total': 924946}","{'new': '+35', '1M_pop': '360', 'total': 14713}","{'1M_pop': '207953', 'total': 8508732}",2021-04-11,2021-04-11T15:15:15+00:00
192,Europe,Switzerland,8703603.0,"{'new': None, 'active': 49525, 'critical': 189, 'recovered': 557566, '1M_pop': '70953', 'total': 617543}","{'new': '+2', '1M_pop': '1201', 'total': 10452}","{'1M_pop': '728365', 'total': 6339396}",2021-04-11,2021-04-11T15:15:15+00:00
193,Europe,Sweden,10148019.0,"{'new': None, 'active': None, 'critical': 376, 'recovered': None, '1M_pop': '84489', 'total': 857401}","{'new': None, '1M_pop': '1342', 'total': 13621}","{'1M_pop': '773258', 'total': 7847033}",2021-04-11,2021-04-11T15:15:15+00:00
194,Europe,Serbia,8710025.0,"{'new': '+2732', 'active': 80801, 'critical': 266, 'recovered': 555672, '1M_pop': '73732', 'total': 642208}","{'new': '+35', '1M_pop': '658', 'total': 5735}","{'1M_pop': '411973', 'total': 3588296}",2021-04-11,2021-04-11T15:15:15+00:00
195,Europe,Austria,9046191.0,"{'new': '+2252', 'active': 31522, 'critical': 602, 'recovered': 535798, '1M_pop': '63785', 'total': 577007}","{'new': '+25', '1M_pop': '1071', 'total': 9687}","{'1M_pop': '2949205', 'total': 26679075}",2021-04-11,2021-04-11T15:15:15+00:00
196,Asia,Philippines,110707106.0,"{'new': '+11681', 'active': 146519, 'critical': 751, 'recovered': 703404, '1M_pop': '7812', 'total': 864868}","{'new': '+201', '1M_pop': '135', 'total': 14945}","{'1M_pop': '97231', 'total': 10764163}",2021-04-11,2021-04-11T15:15:15+00:00
197,North-America,Mexico,129979772.0,"{'new': '+6356', 'active': 263724, 'critical': 4798, 'recovered': 1807676, '1M_pop': '17529', 'total': 2278420}","{'new': None, '1M_pop': '1593', 'total': 207020}","{'1M_pop': '48202', 'total': 6265261}",2021-04-11,2021-04-11T15:15:14+00:00
198,Europe,Ukraine,43529477.0,"{'new': '+12112', 'active': 405375, 'critical': 177, 'recovered': 1410860, '1M_pop': '42575', 'total': 1853249}","{'new': '+235', '1M_pop': '850', 'total': 37014}","{'1M_pop': '198082', 'total': 8622424}",2021-04-11,2021-04-11T15:15:14+00:00
199,Europe,Czechia,10724387.0,"{'new': '+2198', 'active': 103329, 'critical': 1220, 'recovered': 1449052, '1M_pop': '147345', 'total': 1580189}","{'new': '+37', '1M_pop': '2593', 'total': 27808}","{'1M_pop': '1334213', 'total': 14308617}",2021-04-11,2021-04-11T15:15:14+00:00
200,Asia,Indonesia,275759111.0,"{'new': '+4127', 'active': 109958, 'critical': None, 'recovered': 1414507, '1M_pop': '5682', 'total': 1566995}","{'new': '+87', '1M_pop': '154', 'total': 42530}","{'1M_pop': '48546', 'total': 13386975}",2021-04-11,2021-04-11T15:15:14+00:00
201,Asia,Iran,84823127.0,"{'new': '+21063', 'active': 294677, 'critical': 4392, 'recovered': 1710974, '1M_pop': '24405', 'total': 2070141}","{'new': '+258', '1M_pop': '760', 'total': 64490}","{'1M_pop': '161200', 'total': 13673466}",2021-04-11,2021-04-11T15:15:14+00:00
202,North-America,Canada,37997200.0,"{'new': '+7261', 'active': 70619, 'critical': 928, 'recovered': 958633, '1M_pop': '27700', 'total': 1052539}","{'new': '+36', '1M_pop': '613', 'total': 23287}","{'1M_pop': '759943', 'total': 28875724}",2021-04-11,2021-04-11T15:15:14+00:00
203,Europe,Romania,19137890.0,"{'new': '+3302', 'active': 74373, 'critical': 1531, 'recovered': 906659, '1M_pop': '52575', 'total': 1006167}","{'new': '+129', '1M_pop': '1313', 'total': 25135}","{'1M_pop': '401709', 'total': 7687854}",2021-04-11,2021-04-11T15:15:14+00:00
204,South-America,Colombia,51302055.0,"{'new': '+14509', 'active': 77931, 'critical': 2603, 'recovered': 2375176, '1M_pop': '49096', 'total': 2518715}","{'new': '+325', '1M_pop': '1279', 'total': 65608}","{'1M_pop': '258200', 'total': 13246202}",2021-04-11,2021-04-11T15:15:14+00:00
205,South-America,Argentina,45516495.0,"{'new': '+19419', 'active': 241870, 'critical': 3761, 'recovered': 2217783, '1M_pop': '55305', 'total': 2517300}","{'new': '+297', '1M_pop': '1267', 'total': 57647}","{'1M_pop': '209319', 'total': 9527467}",2021-04-11,2021-04-11T15:15:14+00:00
206,South-America,Peru,33326366.0,"{'new': '+11248', 'active': 27319, 'critical': 2321, 'recovered': 1557779, '1M_pop': '49203', 'total': 1639767}","{'new': '+384', '1M_pop': '1640', 'total': 54669}","{'1M_pop': '298434', 'total': 9945732}",2021-04-11,2021-04-11T15:15:14+00:00
207,Africa,South-Africa,59886167.0,"{'new': '+1285', 'active': 21589, 'critical': 546, 'recovered': 1482682, '1M_pop': '26008', 'total': 1557527}","{'new': '+30', '1M_pop': '889', 'total': 53256}","{'1M_pop': '168919', 'total': 10115923}",2021-04-11,2021-04-11T15:15:14+00:00
208,South-America,Chile,19243128.0,"{'new': '+8101', 'active': 45909, 'critical': 3139, 'recovered': 998400, '1M_pop': '55527', 'total': 1068522}","{'new': '+105', '1M_pop': '1258', 'total': 24213}","{'1M_pop': '614538', 'total': 11825634}",2021-04-11,2021-04-11T15:15:14+00:00
209,Europe,Netherlands,17164268.0,"{'new': '+8218', 'active': None, 'critical': 781, 'recovered': None, '1M_pop': '78691', 'total': 1350665}","{'new': '+17', '1M_pop': '977', 'total': 16771}","{'1M_pop': '657913', 'total': 11292587}",2021-04-11,2021-04-11T15:15:14+00:00
210,Europe,France,65385498.0,"{'new': '+43284', 'active': 4621544, 'critical': 5729, 'recovered': 303639, '1M_pop': '76833', 'total': 5023785}","{'new': '+207', '1M_pop': '1508', 'total': 98602}","{'1M_pop': '1040101', 'total': 68007540}",2021-04-11,2021-04-11T15:15:13+00:00
211,Europe,Spain,46768730.0,"{'new': '+10875', 'active': 175262, 'critical': 2050, 'recovered': 3095922, '1M_pop': '71576', 'total': 3347512}","{'new': '+149', '1M_pop': '1632', 'total': 76328}","{'1M_pop': '929230', 'total': 43458915}",2021-04-11,2021-04-11T15:15:13+00:00
212,Europe,Russia,145983010.0,"{'new': '+8702', 'active': 272895, 'critical': 2300, 'recovered': 4265509, '1M_pop': '31794', 'total': 4641390}","{'new': '+337', '1M_pop': '705', 'total': 102986}","{'1M_pop': '847359', 'total': 123700000}",2021-04-11,2021-04-11T15:15:13+00:00
213,Oceania,Oceania,,"{'new': '+109', 'active': 23894, 'critical': 5, 'recovered': 34676, '1M_pop': None, 'total': 59721}","{'new': None, '1M_pop': None, 'total': 1151}","{'1M_pop': None, 'total': None}",2021-04-11,2021-04-11T15:15:13+00:00
214,Europe,Poland,37814435.0,"{'new': '+21703', 'active': 344909, 'critical': 3459, 'recovered': 2171301, '1M_pop': '68086', 'total': 2574631}","{'new': '+245', '1M_pop': '1545', 'total': 58421}","{'1M_pop': '341473', 'total': 12912603}",2021-04-11,2021-04-11T15:15:13+00:00
215,South-America,Brazil,213728826.0,"{'new': '+69592', 'active': 1254973, 'critical': 8318, 'recovered': 11838564, '1M_pop': '62907', 'total': 13445006}","{'new': '+2535', '1M_pop': '1644', 'total': 351469}","{'1M_pop': '133814', 'total': 28600000}",2021-04-11,2021-04-11T15:15:13+00:00
216,Europe,UK,68162199.0,"{'new': '+2589', 'active': 279227, 'critical': 406, 'recovered': 3961738, '1M_pop': '64083', 'total': 4368045}","{'new': '+40', '1M_pop': '1864', 'total': 127080}","{'1M_pop': '1970141', 'total': 134289127}",2021-04-11,2021-04-11T15:15:13+00:00
217,Asia,Turkey,85040447.0,"{'new': '+52676', 'active': 463414, 'critical': 2739, 'recovered': 3301217, '1M_pop': '44665', 'total': 3798333}","{'new': '+248', '1M_pop': '396', 'total': 33702}","{'1M_pop': '485623', 'total': 41297580}",2021-04-11,2021-04-11T15:15:13+00:00
218,Europe,Germany,83991585.0,"{'new': '+9041', 'active': 251708, 'critical': 4515, 'recovered': 2671200, '1M_pop': '35740', 'total': 3001844}","{'new': '+78', '1M_pop': '940', 'total': 78936}","{'1M_pop': '613862', 'total': 51559277}",2021-04-11,2021-04-11T15:15:13+00:00
